"Diners, Drive-Ins and Dives",FOOD,419639,404605,0.0358260314
"Diners, Drive-Ins and Dives",FOOD,180496,201689,-0.1174153444
The Big Bang Theory,CBS,5291774,5245742,0.0086987842
Hooten & the Lady,CW,540848,511599,0.0540798894
Scorpion,CBS,2905544,2808488,0.0334037275
George Lopez,NICK,312596,309894,0.0086437446
PAW Patrol,NICK,583746,581348,0.0041079511
PAW Patrol,NICK,556649,546112,0.0189293433
Fresh Prince of Bel-Air,VH1,93561,95029,-0.0156902983
Jersey Shore,MTV,91585,94669,-0.0336736365
Blaze and the Monster Machines,NICK,392957,403955,-0.0279877951
Love & Hip Hop Hollywood,VH1,109344,105049,0.0392797044
Baller Wives,VH1,106450,104498,0.0183372475
PAW Patrol,NICK,403643,415760,-0.030019101
Baller Wives,VH1,106450,103222,0.0303240958
Baller Wives,VH1,112389,109428,0.0263459947
T.I. and Tiny: The Family Hustle,VH1,113621,109469,0.0365425406
The Loud House,NICK,1122454,1109167,0.0118374561
T.I. and Tiny: The Family Hustle,VH1,149485,144540,0.0330802422
Catfish: The TV Show,MTV,177536,165440,0.0681326604
The Flash,CW,654237,724769,-0.1078080268
DC's Legends of Tomorrow,CW,443463,473017,-0.0666436659
Hand in Hand: A Benefit for Hurricane Relief,MTV,176896,207840,-0.1749276411
Full House,NICK,533103,536526,-0.006420898
Full House,NICK,533103,511065,0.0413391033
Full House,NICK,499023,485728,0.0266420586
Baller Wives,VH1,183514,189058,-0.0302102292
Friends,NICK,515550,510987,0.0088507419
Friends,NICK,495415,491695,0.0075088562
Friends,NICK,447245,420669,0.0594215698
Fear Factor,MTV,152423,136766,0.102720718
Fresh Prince of Bel-Air,NICK,345501,361571,-0.0465121664
George Lopez,NICK,303085,305537,-0.0080901397
PAW Patrol,NICK,581779,578263,0.006043532
PAW Patrol,NICK,550167,553076,-0.0052874854
PAW Patrol,NICK,530429,531993,-0.0029485567
Fresh Prince of Bel-Air,VH1,72117,70764,0.0187611797
Blaze and the Monster Machines,NICK,354668,349817,0.0136775802
Rusty Rivets,NICK,365045,374222,-0.0251393664
Rusty Rivets,NICK,365045,359341,0.0156254708
PAW Patrol,NICK,408447,415974,-0.0184283395
Black Ink Crew: Chicago,VH1,131787,125025,0.0513100685
Catfish: The TV Show,MTV,234396,224235,0.0433497159
MasterChef,FOX,2134917,2011263,0.0579198161
Supernatural,CW,474907,487855,-0.0272642854
Supernatural,CW,474907,449828,0.052808234
Full House,NICK,625355,622170,0.0050931071
Full House,NICK,593165,616712,-0.0396972175
Full House,NICK,593165,574694,0.0311397335
Friends,NICK,549187,548160,0.001870037
Catfish: The TV Show,MTV,177075,175619,0.0082225046
Friends,NICK,466811,433194,0.0720141556
Catfish: The TV Show,MTV,121010,111158,0.0814147591
Fresh Prince of Bel-Air,NICK,331154,341493,-0.0312211237
George Lopez,NICK,281566,300219,-0.0662473452
George Lopez,NICK,318243,319490,-0.0039183894
George Lopez,NICK,331054,335021,-0.0119829393
PAW Patrol,NICK,573103,571903,0.0020938645
PAW Patrol,NICK,538267,544069,-0.0107790372
PAW Patrol,NICK,509644,529885,-0.0397159586
Bubble Guppies,NICK,471032,456961,0.029872705
Fresh Prince of Bel-Air,VH1,80524,82892,-0.0294073817
Bubble Guppies,NICK,434372,429006,0.0123534666
Fresh Prince of Bel-Air,VH1,85352,85249,0.0012067673
Blaze and the Monster Machines,NICK,400336,393326,0.0175102914
Rusty Rivets,NICK,383943,384205,-0.000682393
PAW Patrol,NICK,396284,376708,0.0493989159
Black Ink Crew: Chicago,VH1,95519,99120,-0.0376993059
Cheaters,VH1,103664,106779,-0.0300490045
Cheaters,VH1,133042,124657,0.0630252101
Nick Cannon Presents: Wild 'N Out,MTV,182422,172656,0.0535352096
TMNT,NICK,564225,684230,-0.212689973
Mom,CBS,4759342,4854084,-0.0199065333
TMNT,NICK,564225,632265,-0.1205901901
TMNT,NICK,564225,605431,-0.0730311489
Celebrity Family Feud,ABC,4220408,4052769,0.0397210412
