George Lopez,NICK,289899,287975,0.0066367942
George Lopez,NICK,289899,289259,0.0022076654
George Lopez,NICK,290451,296572,-0.0210741227
George Lopez,NICK,290451,290360,0.0003133059
Married to Medicine,BRAVO,71551,75889,-0.0606280835
Married to Medicine,BRAVO,71551,84275,-0.1778311973
Married to Medicine,BRAVO,97979,95916,0.0210555323
World's Wildest Police Videos,SPKE,94883,122862,-0.2948789562
The Real Housewives of Beverly Hills,BRAVO,155798,147012,0.0563935352
The Real Housewives of Beverly Hills,BRAVO,158010,167010,-0.0569584204
The Real Housewives of Beverly Hills,BRAVO,169926,155257,0.0863258124
The Real Housewives of Beverly Hills,BRAVO,169926,162154,0.0457375563
Vanderpump Rules,BRAVO,160259,155052,0.0324911549
Toy Story,FREEFORM,381213,275290,0.2778577855
Don't Be Tardy...,BRAVO,179996,170824,0.0509566879
Rickey Smiley For Real,TVONE,70299,69151,0.0163302465
Don't Be Tardy...,BRAVO,179996,185486,-0.0305006778
Toy Story,FREEFORM,381213,342945,0.1003848242
Rickey Smiley For Real,TVONE,70299,69879,0.0059744804
Toy Story,FREEFORM,381213,378308,0.0076204117
Rickey Smiley For Real,TVONE,71129,69211,0.0269650916
Toy Story,FREEFORM,381213,440117,-0.1545172909
Rickey Smiley For Real,TVONE,71129,68945,0.0307047758
Toy Story,FREEFORM,381213,430409,-0.1290512128
Toy Story,FREEFORM,381213,458865,-0.2036971457
Rickey Smiley For Real,TVONE,71129,66998,0.0580775774
Rickey Smiley For Real,TVONE,79367,72799,0.0827547973
The Real Housewives of Atlanta,BRAVO,181246,176463,0.0263895479
Rickey Smiley For Real,TVONE,79367,73852,0.0694873184
Rickey Smiley For Real,TVONE,79367,78416,0.01198231
Rickey Smiley For Real,TVONE,100333,93946,0.0636580188
The Real Housewives of Atlanta,BRAVO,223022,221144,0.0084206939
A Haunting: Back From the Dead,TLC,243321,243213,0.0004438581
The Golden Girls,LOGO,61702,59824,0.0304366147
Despicable Me,FREEFORM,564584,571163,-0.0116528276
Full House,NICK,727786,713068,0.0202229776
The Golden Girls,LOGO,68317,67115,0.0175944494
Mean Girls,E!,274300,282397,-0.0295187751
The Golden Girls,LOGO,66170,64982,0.0179537555
Full House,NICK,690516,641362,0.0711844476
Despicable Me,FREEFORM,564584,602480,-0.0671219872
Mean Girls,E!,283529,264462,0.0672488529
Three's Company,LOGO,51046,48397,0.0518943698
Speed,VH1,222094,227722,-0.0253406215
Full House,NICK,626145,615690,0.0166974103
Mean Girls,E!,283529,281252,0.0080309245
Three's Company,LOGO,49097,46309,0.056785547
Tyler Perry's Temptation,BET,311597,303205,0.0269322234
Speed,VH1,222094,232580,-0.0472142426
Mean Girls,E!,283529,288104,-0.0161359156
Tyler Perry's Temptation,BET,311597,308013,0.0115020363
Three's Company,LOGO,48204,47231,0.0201850469
Tyler Perry's Temptation,BET,311597,304583,0.0225098444
Mean Girls,E!,283529,276810,0.0236977523
Tyler Perry's Temptation,BET,311597,308890,0.0086875034
Mean Girls,E!,283529,271183,0.0435440466
Billy Madison,VH1,172044,172758,-0.0041501011
It's Complicated,BRAVO,327556,318687,0.0270762862
Three's Company,LOGO,49540,46101,0.0694186516
Friends,NICK,580787,559372,0.0368723818
Billy Madison,VH1,172044,185994,-0.0810839088
Billy Madison,VH1,172044,184017,-0.0695926623
Friends,NICK,533144,496689,0.068377399
Billy Madison,VH1,172044,162229,0.0570493595
Fresh Prince of Bel-Air,NICK,432775,406244,0.0613043729
A Haunting: Back From the Dead,TLC,137812,131386,0.0466287406
Beetlejuice,VH1,136623,131493,0.0375485826
Kindred Spirits,TLC,103859,105255,-0.0134413002
Kindred Spirits,TLC,103859,96480,0.0710482481
Beetlejuice,VH1,136623,130593,0.0441360532
Vanderpump Rules,BRAVO,131349,115705,0.1191025436
Top Gun,VH1,95708,105681,-0.1042023655
